,Search Trends,close
2016-11-08 10:00:00,18.0,171.34
2016-11-08 11:00:00,31.0,173.61
2016-11-08 12:00:00,44.0,174.1
2016-11-08 13:00:00,50.0,176.07
2016-11-08 14:00:00,53.0,174.79
2016-11-08 15:00:00,54.0,174.66
2016-11-09 09:00:00,8.0,170.67
2016-11-09 10:00:00,16.0,169.94
2016-11-09 11:00:00,29.0,173.85
2016-11-09 12:00:00,42.0,172.68
2016-11-09 13:00:00,48.0,171.52
2016-11-09 14:00:00,52.0,172.6
2016-11-09 15:00:00,54.0,172.67
2016-11-10 09:00:00,9.0,172.84
2016-11-10 10:00:00,18.0,167.87
2016-11-10 11:00:00,33.0,167.07
2016-11-10 12:00:00,47.0,166.0
2016-11-10 13:00:00,51.0,164.8
2016-11-10 14:00:00,55.0,163.2
2016-11-10 15:00:00,56.0,162.83
2016-11-11 09:00:00,10.0,155.02
2016-11-11 10:00:00,19.0,152.06
2016-11-11 11:00:00,32.0,154.25
2016-11-11 12:00:00,45.0,156.65
2016-11-11 13:00:00,51.0,157.34
2016-11-11 14:00:00,54.0,155.69
2016-11-11 15:00:00,55.0,155.88
2016-11-14 09:00:00,8.0,155.47
2016-11-14 10:00:00,15.0,151.29
2016-11-14 11:00:00,31.0,151.64
2016-11-14 12:00:00,43.0,151.45
2016-11-14 13:00:00,54.0,152.36
2016-11-14 14:00:00,53.0,151.98
2016-11-14 15:00:00,55.0,153.74
2016-11-15 09:00:00,9.0,156.92
2016-11-15 10:00:00,17.0,158.32
2016-11-15 11:00:00,30.0,156.005
2016-11-15 12:00:00,43.0,155.25
2016-11-15 13:00:00,47.0,155.1
2016-11-15 14:00:00,51.0,155.2
2016-11-15 15:00:00,52.0,155.8
2016-11-16 09:00:00,9.0,155.56
2016-11-16 10:00:00,17.0,156.55
2016-11-16 11:00:00,32.0,157.9
2016-11-16 12:00:00,44.0,157.39
2016-11-16 13:00:00,50.0,157.56
2016-11-16 14:00:00,54.0,156.87
2016-11-16 15:00:00,55.0,156.78
2016-11-17 09:00:00,10.0,158.35
2016-11-17 10:00:00,17.0,157.39
2016-11-17 11:00:00,32.0,158.02
2016-11-17 12:00:00,45.0,157.55
2016-11-17 13:00:00,50.0,157.75
2016-11-17 14:00:00,55.0,156.64
